PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000107959.11.PITRM1.wgt.RDat	PITRM1	10	3179920	3215003	0.490	rs7920115	 3.24	rs4881111	 0.03202	-3.78	 0.829	734	18	enet	0.089	0.0031	-0.9030	3.67e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000237399.3.PITRM1-AS1.wgt.RDat	PITRM1-AS1	10	3183824	3210164	0.628	rs7920115	 3.23	rs7924157	 0.14828	-4.70	 0.882	729	50	enet	0.28	8.7e-08	-0.5905	5.55e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000239665.4.RP11-295P9.3.wgt.RDat	RP11-295P9.3	10	13673143	13710299	0.595	rs11258623	-3.53	rs10906433	 0.32781	-5.76	 1.404	710	 1	top1	0.33	5.1e-09	-1.4036	1.60e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000240291.1.RP11-499P20.2.wgt.RDat	RP11-499P20.2	10	18802044	18834580	0.303	rs4748477	 3.19	rs3740102	 0.26908	 5.19	 0.753	597	 4	lasso	0.28	1.3e-07	 0.2997	7.64e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000120539.10.MASTL.wgt.RDat	MASTL	10	27447478	27475853	0.474	rs11015236	 2.93	rs7086553	 0.39057	-5.87	-0.114	465	 1	top1	0.39	7.6e-11	 0.1144	9.09e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000165322.13.ARHGAP12.wgt.RDat	ARHGAP12	10	32094365	32217742	0.149	rs4394741	 2.49	rs2808079	 0.08643	-3.99	-1.527	381	24	enet	0.11	0.0012	 1.1848	2.36e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000271335.1.RP11-324I22.4.wgt.RDat	RP11-324I22.4	10	35603480	35625329	0.245	rs12248871	 2.27	rs11010152	 0.03051	 3.70	-0.991	333	22	enet	0.058	0.014	-0.0431	9.66e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000196793.9.ZNF239.wgt.RDat	ZNF239	10	44051792	44070066	0.283	rs7900342	 2.45	rs3006389	 0.07824	-4.34	 0.893	462	 4	lasso	0.097	0.002	-0.9022	3.67e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000188234.9.AGAP4.wgt.RDat	AGAP4	10	46321042	46349323	0.202	rs3780900	 3.34	rs10751384	 0.02247	 3.86	-0.957	123	 5	lasso	0.049	0.023	-1.1192	2.63e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000174194.11.AGAP8.wgt.RDat	AGAP8	10	51224681	51371321	0.551	rs10993994	 9.32	rs11101179	 0.46884	-2.87	 0.864	187	 1	lasso	0.53	8.4e-16	-0.2387	8.11e-01
